k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
42.0,17,11,12,12,14,18,15,17,9,11,4,11,9,7,17,14,15,9,16,10,10,15,15,17,12,8,9,9,12,18,10,11,11,9,10,10,11,13,14,12,12,13,14,16,10,13,16,14,10,11,12,10,14,13,12,15,5,12,13,15,13,13,16,16,16,8,12,13,6,13,11,11,10,13,10,14,12,9,13,8,10,11,17,9,9,15,10,8,9,6,15,12,7,7,14,14,12,15,15,9
43.0,7,11,14,10,10,13,10,13,11,11,9,9,13,6,9,9,14,12,16,7,13,6,14,11,13,14,5,12,15,8,14,16,14,10,12,11,13,13,10,9,14,14,11,12,10,14,10,8,5,13,8,13,10,5,15,13,10,11,9,10,9,12,14,15,10,11,12,8,14,11,12,10,11,12,9,10,15,12,11,15,10,11,9,15,12,5,14,13,12,10,7,15,15,9,16,13,9,12,9,7
44.0,12,9,9,4,11,12,12,11,7,10,7,12,7,7,11,10,12,9,11,12,12,6,12,10,10,11,10,14,7,11,10,10,11,12,10,13,11,7,10,11,9,9,4,8,7,10,13,8,11,9,11,8,16,3,12,9,9,11,14,15,10,9,7,10,6,11,10,14,7,10,5,9,12,12,10,9,11,15,14,13,14,8,12,10,11,9,11,7,10,7,3,10,10,9,7,11,7,5,14,10
45.0,7,11,5,8,6,8,16,6,4,8,9,8,9,8,4,7,11,5,7,6,6,10,6,11,5,9,7,9,13,5,6,11,10,10,7,9,13,6,8,8,10,8,12,12,8,10,5,10,9,9,8,10,7,4,9,12,10,10,8,7,10,10,6,8,6,12,9,6,4,5,5,7,14,6,13,8,8,6,10,4,7,10,6,14,7,6,5,7,5,6,5,11,12,7,10,6,9,6,6,9
46.0,18,13,13,20,11,12,6,13,17,12,12,12,13,7,16,16,18,18,17,18,14,20,18,14,14,14,14,12,17,13,14,11,16,7,17,14,12,17,15,15,7,18,11,11,19,14,11,17,13,18,17,11,21,12,12,22,16,8,16,16,14,9,9,15,21,14,12,15,18,13,9,18,12,17,9,16,20,15,19,16,12,9,10,18,12,16,16,11,14,17,14,15,9,14,11,13,19,18,14,10
47.0,12,7,11,12,9,12,10,10,13,7,13,13,10,11,10,12,12,8,10,11,8,14,11,11,9,8,14,10,9,9,9,13,12,11,7,5,6,12,12,10,12,11,13,12,13,9,17,13,13,10,12,13,11,9,15,14,13,7,13,7,11,12,11,12,15,13,13,11,10,16,10,8,9,12,7,8,13,9,11,16,13,13,13,17,7,9,8,12,6,13,10,11,12,14,13,14,11,10,9,10
48.0,11,7,5,9,8,15,15,13,7,7,7,7,11,8,4,8,7,7,11,14,10,8,9,5,11,10,10,6,9,4,6,9,6,8,12,12,11,9,8,9,8,10,9,12,5,7,13,12,7,12,10,11,13,10,14,9,9,12,15,16,5,12,12,8,8,12,8,15,6,6,9,7,12,11,10,10,12,10,7,7,8,2,13,11,11,11,7,11,19,5,11,6,12,7,9,8,10,11,14,14
49.0,9,9,11,7,8,11,12,14,9,7,6,10,14,7,10,10,10,9,12,14,13,10,10,9,10,11,9,8,10,9,10,12,10,9,15,11,11,5,10,13,12,9,10,8,7,8,8,11,5,11,10,14,7,9,9,11,8,10,9,9,16,13,12,9,6,10,9,8,7,10,10,5,10,10,8,15,8,11,9,12,11,13,11,8,11,13,9,11,8,8,10,11,11,8,12,13,10,12,9,15
50.0,13,10,8,10,4,10,7,12,12,8,11,9,15,5,9,6,9,9,12,11,12,8,6,10,15,7,5,10,9,10,10,10,10,4,11,6,14,13,7,12,7,8,12,12,10,14,16,12,8,11,14,14,3,15,9,8,11,10,9,6,11,8,6,10,11,17,10,11,6,8,7,12,5,13,14,7,14,14,8,11,9,5,5,11,15,11,9,15,8,8,10,10,14,12,8,12,9,15,10,12
51.0,9,7,14,6,16,16,12,13,5,10,7,17,9,12,9,12,10,10,9,5,7,9,16,14,13,14,11,8,10,8,8,3,10,9,15,9,11,10,13,12,2,12,3,9,7,14,12,6,11,6,11,8,11,5,5,6,10,12,8,12,11,13,6,9,7,15,16,8,10,10,8,14,6,10,7,7,9,6,10,11,8,8,11,10,9,9,10,9,11,8,6,10,12,8,3,10,6,15,11,14
52.0,6,11,8,5,11,14,4,12,6,9,5,10,10,12,9,7,3,13,8,8,8,10,10,9,7,9,6,8,11,9,6,6,4,6,9,5,6,6,5,7,7,14,8,10,10,13,11,9,4,10,10,11,10,9,10,11,6,7,11,11,11,15,10,9,6,11,10,12,13,8,10,3,9,7,10,7,7,8,11,9,8,10,10,12,6,4,13,9,11,7,7,5,10,7,7,7,8,9,10,6
53.0,7,9,10,10,7,12,12,9,6,6,8,9,8,6,8,12,8,11,15,7,10,9,8,9,12,12,11,12,14,7,11,8,11,8,11,9,6,7,12,7,8,7,9,5,8,13,8,7,6,8,6,9,9,7,9,13,7,7,11,10,5,8,6,15,12,9,6,12,14,6,10,5,11,10,8,5,9,9,13,9,9,9,6,12,11,7,13,7,11,8,7,10,10,4,8,9,7,11,9,11
54.0,9,8,12,10,13,7,12,7,11,9,9,11,7,10,8,11,7,11,7,5,10,9,13,13,11,8,6,15,13,8,9,6,11,9,7,5,6,8,11,6,5,8,8,6,4,7,8,10,9,7,12,6,18,15,11,9,6,8,12,18,13,19,10,7,11,5,14,14,11,16,5,9,12,11,10,8,10,11,9,11,9,10,11,12,12,14,12,3,10,7,14,13,7,5,5,12,8,14,15,12
55.0,11,7,8,15,10,9,8,9,10,9,15,10,10,6,8,8,9,7,10,12,10,10,11,12,10,12,5,10,11,7,10,8,10,9,10,10,10,4,9,9,8,8,14,9,12,7,10,13,7,11,11,8,8,9,10,9,13,17,8,8,12,12,7,9,14,12,8,9,5,8,14,11,7,8,11,16,6,10,5,6,6,13,14,12,10,9,7,9,10,8,12,10,7,11,7,11,10,9,8,11
56.0,10,8,12,11,8,9,12,9,11,9,9,10,9,11,9,9,3,9,10,9,11,11,9,11,6,8,5,10,12,9,7,4,8,7,11,9,9,10,10,13,3,12,7,12,8,8,12,12,7,11,9,9,7,11,6,9,13,6,14,7,12,10,9,11,11,10,12,13,8,13,7,8,7,15,9,9,10,11,10,8,10,7,11,7,6,10,9,8,10,4,13,8,10,12,4,14,11,12,7,9
57.0,15,18,12,8,10,16,13,15,17,17,13,15,19,17,14,9,15,16,14,17,14,14,13,12,13,14,4,8,12,12,11,13,8,15,17,9,14,8,8,6,14,13,9,17,9,15,13,13,13,12,15,20,13,12,10,14,9,11,17,12,16,13,13,13,10,17,18,18,14,15,10,13,11,11,14,9,12,15,11,16,14,7,13,15,17,14,17,16,14,10,15,12,15,7,12,14,10,12,13,12
58.0,7,5,7,8,5,11,8,5,7,7,10,9,12,14,12,8,6,11,8,7,9,10,5,3,7,6,6,10,8,9,11,6,6,5,11,3,7,8,7,7,9,12,11,9,11,11,8,5,5,12,14,13,10,6,9,14,8,12,10,7,8,12,8,9,10,12,12,11,9,9,6,9,11,7,10,13,9,9,9,5,4,7,14,10,9,7,11,10,7,8,8,7,11,7,8,4,3,16,6,8
59.0,8,8,11,11,5,14,9,13,10,14,7,10,7,13,12,10,9,9,6,6,10,10,6,17,11,12,9,14,12,11,13,8,11,6,13,18,11,5,10,8,8,8,8,7,7,7,7,6,6,8,12,8,9,7,12,12,8,10,13,7,15,9,9,9,11,8,12,15,8,15,10,11,3,12,8,6,7,9,10,10,15,12,10,11,12,14,9,8,11,5,10,9,5,9,9,10,6,8,8,13
60.0,8,5,8,7,6,1,7,14,7,8,8,9,8,7,9,7,5,8,8,8,14,13,7,7,10,4,9,6,11,9,12,8,11,9,10,7,6,9,8,8,9,6,10,10,6,5,10,12,8,10,8,8,12,6,9,10,8,5,10,14,6,11,8,8,6,11,7,10,7,11,6,9,5,8,11,9,13,12,14,13,6,14,7,17,13,7,8,5,6,3,6,11,14,8,9,8,9,8,12,12
